Region,Region_Native,Language,Type,Latitude,Longitude,Enclosed_By_Level0,Enclosed_By_Level1,Enclosed_By_Level2,Enclosed_By_Level3,Wikipedia_URL
------,-------------,--------,----,--------,---------,------------------,------------------,------------------,------------------,-------------
Antigua and Barbuda,Antigua and Barbuda,"English ",Country,17,-62,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Arab Republic of Egypt,مصر,"Arabic ",Country,27,30,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Egypt
Argentine Republic,República Argentina,"Spanish ",Country,-34,-64,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Argentina
Bangladesh,বাংলাদেশ,"Bengali ",Country,24,90,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Bangladesh
Barbados,Barbados,"English ",Country,13,-60,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Barbados
Belize,Belize,"English ",Country,17,-89,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Belize
Bolivarian Republic of Venezuela,República Bolivariana de Venezuela,"Spanish ",Country,8,-66,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Venezuela
Bosnia and Herzegovina,NULL,NULL,Country,44,18,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Brunei Darussalam,Brunei,"Malay (macrolanguage) ",Country,5,115,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Brunei
Burkina Faso,Burkina Faso,"French ",Country,13,-2,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Burkina_Faso
Canada,Canada,"French ",Country,60,-114,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Canada
Central African Republic,République Centrafricaine,"French ",Country,7,21,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Central_African_Republic
Commonwealth of Australia,Australia,"English ",Country,-25,135,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Australia
Commonwealth of The Bahamas,Bahamas,"English ",Country,25,-77,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/The_Bahamas
Co-operative Republic of Guyana,Guyana,"English ",Country,5,-59,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Guyana
Czechia,NULL,NULL,Country,50,15,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Czech_Republic
Democratic People’s Republic of Korea,Chosŏn-minjujuŭi-inmin-konghwaguk,"Korean ",Country,40,127,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Joseon_Dynasty
Democratic Republic of the Congo,République Démocratique du Congo,"French ",Country,-3,24,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Democratic Republic of Timor-Leste,Timor Leste,"Portuguese ",Country,-9,126,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/East_Timor
Democratic Socialist Republic of Sri Lanka,NULL,NULL,Country,8,81,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Sri_Lanka
Dominica,Dominica,"English ",Country,16,-61,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Dominica
Dominican Republic,República Dominicana,"Spanish ",Country,19,-71,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Dominican_Republic
Eswatini,Umbuso weSwatini,"Swati ",Country,-27,32,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Eswatini
Federal Democratic Republic of Ethiopia,Itoophiyaa,"Oromo ",Country,9,40,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Ethiopia
Federal Republic of Germany,NULL,NULL,Country,52,11,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Germany
Federal Republic of Nigeria,Nigeria,"English ",Country,10,8,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Nigeria
Federation of Saint Kitts and Nevis,St. Kitts & Nevis,"English ",Country,17,-63,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
Federative Republic of Brazil,República Federativa do Brasil,"Portuguese ",Country,-10,-55,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Brazil
Gabonese Republic,République Gabonaise,"French ",Country,-1,12,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Gabon
Gambia,Gambia,"English ",Country,14,-16,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/The_Gambia
Georgia,NULL,NULL,Country,42,43,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Georgia_%28country%29
Grand Duchy of Luxembourg,Grand-Duché de Luxembourg,"French ",Country,50,6,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Luxembourg
Grenada,Grenada,"English ",Country,12,-62,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Grenada
Hashemite Kingdom of Jordan,الاردن,"Arabic ",Country,31,36,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Jordan
Hellenic Republic,Ellinikí Dhimokratía,"Modern Greek (1453-) ",Country,39,22,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Greece
Hungary,Magyar Köztársaság,"Hungarian ",Country,47,20,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Hungary
Iceland,NULL,NULL,Country,65,-18,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Iceland
Independent State of Papua New Guinea,Papua New Guinea,"English ",Country,-6,147,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Papua_New_Guinea
Independent State of Samoa,Samoa,"English ",Country,-14,-172,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Samoa
Ireland,Éire,"Irish ",Country,53,-8,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Ireland
Islamic Republic of Afghanistan,NULL,NULL,Country,33,66,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Afghanistan
Islamic Republic of Iran,Jomhūrī-ye Eslāmī-ye Īrān,"Persian ",Country,32,53,NULL,NULL,NULL,NULL,https://en.wikipedia.org/wiki/Iran
